                Great Lakes Average Ice Concentration

------------------------------------------------------------------
                       Ice Concentration (%)
 
Year Day    Sup.   Mich.   Huron    Erie    Ont.  St.Clr  GL Total
2022 059   48.35   19.45   45.66   75.36    7.79   94.67   40.93
2022 060   59.02   18.05   57.69   72.96   18.77   94.85   47.96
2022 061   55.20   19.83   56.91   74.88   14.19   88.28   46.60
2022 062   64.15   24.24   59.95   73.39   13.13   80.79   51.35
2022 063   62.21   21.63   60.04   65.93   10.12   82.20   49.16
2022 064   63.38   24.10   56.97   61.73   11.33   76.82   49.08
2022 065   55.32   18.09   49.88   51.95    9.29   76.82   42.03
2022 066   51.57   17.49   37.35   37.95    7.88   72.28   36.10
2022 067   54.04   17.36   42.12   19.16    6.45   47.97   36.15
2022 068   45.74   15.18   32.39   16.36    5.38   45.62   29.96
2022 069   53.03   16.30   32.65   17.42    5.45   40.43   33.02
2022 070   57.88   17.15   36.96   49.20    5.13   43.53   38.98
2022 071   59.28   15.18   36.86   10.12    5.81   45.86   35.42
2022 072   60.82   15.22   39.06    7.98    5.99   76.88   36.45
2022 073   71.55   19.68   44.57   12.22    5.10   77.27   43.02
2022 074   79.55   22.42   54.00   10.46    5.31   61.52   48.60
2022 075   70.25   19.83   47.94    9.68    5.66   61.52   43.12
2022 076   63.77   15.83   38.12    9.20    6.15   50.08   37.46
2022 077   54.29   15.52   32.34    7.73    5.88   34.46   32.33
2022 078   52.25   14.62   29.92    7.57    5.05   10.52   30.64
2022 079   48.78   14.64   25.16    6.50    5.70    0.00   28.15
2022 080   49.36   14.18   23.25    1.82    3.37    0.00   27.19
2022 081   43.89   14.19   23.22    1.26    3.50    0.00   25.14
2022 082   34.65   12.77   23.43    2.25    3.40    0.00   21.59
2022 083   31.34   12.03   20.66    1.91    3.90    0.00   19.55
2022 084   36.10   11.78   20.45    1.85    1.94    0.00   21.04
2022 085   22.23    9.52   16.27    0.53    1.35    0.00   14.30
2022 086   23.02   10.90   15.60    0.43    1.47    0.00   14.73
2022 087   23.96   10.33   18.21    0.42    1.29    0.00   15.56
2022 088   37.13   14.88   18.91    0.35    0.95    0.00   21.53
2022 089   27.63   10.74   17.86    0.33    0.99    0.00   16.88
2022 090   24.58   12.17   16.59    0.33    0.53    0.00   15.75
2022 091   24.54   10.32   16.75    0.33    0.44    0.00   15.35
2022 092   23.01   10.87   16.56    0.33    0.44    0.00   14.87
2022 093   19.88    8.59   17.49    0.33    0.44    0.00   13.43
2022 094   15.42    7.21   14.88    0.21    0.30    0.00   10.85
2022 095   17.44    7.49   13.27    0.21    0.22    0.00   11.26
2022 096   18.61    7.97   13.42    0.18    0.00    0.00   11.81
2022 097   17.48    6.84   12.28    0.18    0.00    0.00   10.87
2022 098   13.29    6.59   11.78    0.00    0.00    0.00    9.15
2022 099   10.63    5.33   11.69    0.00    0.00    0.00    7.87
2022 100    9.70    4.31    9.76    0.00    0.00    0.00    6.84
2022 101   11.67    5.49    9.36    0.00    0.00    0.00    7.73
2022 102   12.01    4.64    9.26    0.00    0.00    0.00    7.64
2022 103   10.75    4.01    9.43    0.00    0.00    0.00    7.08
2022 104    9.94    2.08    8.84    0.00    0.00    0.00    6.21
2022 105    7.78    0.61    7.36    0.00    0.00    0.00    4.74
2022 106    6.06    0.69    6.86    0.00    0.00    0.00    4.00
2022 107    5.44    0.82    6.63    0.00    0.00    0.00    3.75
2022 108    5.21    0.67    6.61    0.00    0.00    0.00    3.63
2022 109    4.27    0.74    6.36    0.00    0.00    0.00    3.24
2022 110    4.10    0.42    5.67    0.00    0.00    0.00    2.94
2022 111    3.90    0.30    4.90    0.00    0.00    0.00    2.66
2022 112    3.63    0.13    4.60    0.00    0.00    0.00    2.45
2022 113    3.37    0.10    4.00    0.00    0.00    0.00    2.21
2022 114    3.19    0.08    2.98    0.00    0.00    0.00    1.89
2022 115    2.57    0.00    1.74    0.00    0.00    0.00    1.35
2022 116    2.28    0.00    1.73    0.00    0.00    0.00    1.24
2022 117    2.27    0.00    0.78    0.00    0.00    0.00    1.02
2022 118    1.86    0.00    0.48    0.00    0.00    0.00    0.80
2022 119    2.13    0.00    0.21    0.00    0.00    0.00    0.83
2022 120    2.07    0.00    0.11    0.00    0.00    0.00    0.78
2022 121    1.92    0.00    0.11    0.00    0.00    0.00    0.73
2022 122    1.52    0.00    0.00    0.00    0.00    0.00    0.56
2022 123    1.58    0.00    0.00    0.00    0.00    0.00    0.58
2022 124    1.56    0.00    0.00    0.00    0.00    0.00    0.57
2022 125    1.44    0.00    0.00    0.00    0.00    0.00    0.53
2022 126    1.38    0.00    0.00    0.00    0.00    0.00    0.51
2022 127    1.30    0.00    0.00    0.00    0.00    0.00    0.48
2022 128    1.28    0.00    0.00    0.00    0.00    0.00    0.47
2022 129    1.31    0.00    0.00    0.00    0.00    0.00    0.48
2022 130    1.09    0.00    0.00    0.00    0.00    0.00    0.40
2022 131    1.18    0.00    0.00    0.00    0.00    0.00    0.43
2022 132    1.18    0.00    0.00    0.00    0.00    0.00    0.43
2022 133    0.99    0.00    0.00    0.00    0.00    0.00    0.36
2022 134    0.66    0.00    0.00    0.00    0.00    0.00    0.24
2022 135    0.51    0.00    0.00    0.00    0.00    0.00    0.19
2022 136    0.45    0.00    0.00    0.00    0.00    0.00    0.16
2022 137    0.30    0.00    0.00    0.00    0.00    0.00    0.11
2022 138    0.01    0.00    0.00    0.00    0.00    0.00    0.00
2022 139    0.00    0.00    0.00    0.00    0.00    0.00    0.00
2022 140    0.00    0.00    0.00    0.00    0.00    0.00    0.00
2022 141    0.00    0.00    0.00    0.00    0.00    0.00    0.00
2022 142    0.00    0.00    0.00    0.00    0.00    0.00    0.00
