                Great Lakes Average Ice Concentration

------------------------------------------------------------------
                       Ice Concentration (%)
 
Year Day    Sup.   Mich.   Huron    Erie    Ont.  St.Clr  GL Total
------------------------------------------------------------------

2023 329    0.06    0.00    0.03    0.00    0.00    0.00    0.03
2023 330    0.19    0.00    0.03    0.00    0.00    0.00    0.07
2023 331    0.11    0.00    0.02    0.00    0.00    0.00    0.05
2023 332    0.31    0.00    0.02    0.00    0.00    0.00    0.12
2023 333    0.41    0.19    0.03    0.00    0.00    0.07    0.20
2023 334    0.39    0.19    0.48    0.01    0.01    0.07    0.30
2023 335    0.70    0.19    0.29    0.01    0.01    0.31    0.37
2023 336    0.70    0.11    0.29    0.00    0.00    0.17    0.35
2023 337    0.69    0.17    0.29    0.00    0.00    0.07    0.36
2023 338    0.80    0.16    0.22    0.00    0.00    0.00    0.38
2023 339    0.55    0.13    0.31    0.00    0.00    0.00    0.30
2023 340    0.52    0.09    0.31    0.00    0.00    0.00    0.29
2023 341    0.48    0.04    0.30    0.00    0.00    0.00    0.26
2023 342    0.44    0.04    0.20    0.00    0.00    0.00    0.22
2023 343    0.37    0.02    0.09    0.00    0.00    0.00    0.16
2023 344    0.35    0.01    0.04    0.00    0.00    0.00    0.14
2023 345    0.35    0.01    0.04    0.00    0.00    0.00    0.14
2023 346    0.34    0.01    0.01    0.00    0.00    0.00    0.13
2023 347    0.35    0.01    0.01    0.00    0.00    0.00    0.13
2023 348    0.82    0.09    0.06    0.00    0.00    0.00    0.33
2023 349    0.64    0.07    0.06    0.00    0.00    0.00    0.26
2023 350    0.50    0.06    0.00    0.00    0.00    0.00    0.20
2023 351    0.50    0.08    0.00    0.00    0.00    0.00    0.20
2023 352    0.49    0.12    0.01    0.00    0.00    0.00    0.21
2023 353    0.79    0.30    0.06    0.00    0.00    0.00    0.37
2023 354    0.76    0.39    0.06    0.00    0.00    0.00    0.38
2023 355    0.87    0.37    0.10    0.00    0.00    0.00    0.42
2023 356    1.89    1.07    1.07    0.04    0.55    0.21    1.23
2023 357    0.86    0.15    0.21    0.00    0.28    0.00    0.42
2023 358    0.74    0.09    0.17    0.00    0.25    0.00    0.35
2023 359    0.78    0.03    0.18    0.00    0.25    0.00    0.35
2023 360    0.58    0.01    0.05    0.00    0.04    0.00    0.23
2023 361    0.50    0.01    0.05    0.00    0.04    0.00    0.20
2023 362    0.47    0.00    0.02    0.00    0.00    0.00    0.18
2023 363    0.50    0.00    0.01    0.00    0.00    0.00    0.19
2023 364    0.46    0.00    0.01    0.00    0.00    0.00    0.17
2023 365    0.44    0.00    0.01    0.00    0.00    0.00    0.16
2024 001    0.91    0.05    0.03    0.00    0.00    0.00    0.35
2024 002    0.92    0.04    0.05    0.00    0.00    0.00    0.36
2024 003    0.84    0.01    0.05    0.00    0.00    0.00    0.32
2024 004    0.90    0.26    0.12    0.00    0.13    0.00    0.43
2024 005    1.09    0.21    1.03    0.00    0.13    0.00    0.70
2024 006    1.43    0.81    1.11    0.00    0.35    0.00    1.00
2024 007    1.38    1.10    1.36    0.00    0.85    0.00    1.14
2024 008    1.65    0.76    3.46    0.00    0.91    0.00    1.67
