                Great Lakes Average Ice Concentration

------------------------------------------------------------------
                       Ice Concentration (%)
 
Year Day    Sup.   Mich.   Huron    Erie    Ont.  St.Clr  GL Total
2024 009    1.36    0.53    2.03    0.00    0.91    0.00    1.17
2024 010    1.29    0.39    1.92    0.00    0.70    0.00    1.07
2024 011    1.27    0.71    2.37    0.00    0.49    0.00    1.23
2024 012    1.30    0.57    3.66    0.00    0.54    0.00    1.51
2024 013    1.83    2.32    4.72    0.00    0.54    0.00    2.36
2024 014    1.94    3.15    8.70    0.57    0.95    8.82    3.65
2024 015    3.04    3.95    5.36    5.94    0.93   70.16    4.18
2024 016    4.04    7.74    8.39   12.93    1.91   94.07    6.94
2024 017    4.75    8.33   13.32   16.19    1.72   94.37    8.80
2024 018    5.07   10.01   14.10   16.42    1.85   94.15    9.51
2024 019    6.59   13.62   17.61   22.31    2.88   93.72   12.34
2024 020    5.19   16.55   21.30   27.00    2.74   93.82   13.80
2024 021    6.02   18.28   19.19   26.14    4.79   96.10   14.07
2024 022    7.09   17.39   22.65   35.72    5.30   97.15   16.02
2024 023    5.52   12.50   18.68   26.42    2.44   97.15   12.32
2024 024    5.62   11.09   19.29   24.25    2.57   96.93   11.99
2024 025    4.35   10.84   16.86   21.04    2.01   93.76   10.53
2024 026    3.98   10.08   15.61   18.15    1.25   85.77    9.57
2024 027    4.20   10.19   15.40   23.86    1.40   91.00   10.19
2024 028    3.88    9.80   16.11   18.85    1.44   74.32    9.63
2024 029    3.38    9.61   13.36   11.44    1.36   54.78    7.97
2024 030    2.96    7.94   11.57   10.19    1.53   55.17    6.91
2024 031    2.77    7.51   11.11   10.74    1.45   46.49    6.65
2024 032    2.67    6.41   11.59   10.10    1.43   48.05    6.42
2024 033    3.37    5.93   10.46    8.07    1.43   47.96    6.11
2024 034    5.03    7.37   12.35    6.67    1.40   27.50    7.28
2024 035    4.71    9.41   13.52    5.84    1.98   28.55    7.87
2024 036    3.12    7.87   12.71    4.77    1.41   24.91    6.59
2024 037    2.80    8.15   13.78    3.48    1.41   20.75    6.66
2024 038    2.61    7.62   11.14    3.53    1.34   25.50    5.85
2024 039    2.31    5.37    9.97    3.82    1.39   22.90    4.98
2024 040    1.93    4.51    9.13    2.47    1.35   10.23    4.27
2024 041    1.79    2.60    6.69    0.68    1.19    0.54    2.99
2024 042    1.67    2.62    5.88    0.05    1.07    0.00    2.69
2024 043    2.27    2.68    6.04    0.08    0.84    0.00    2.94
2024 044    2.31    2.88    5.72    0.00    0.84    0.00    2.92
2024 045    2.67    2.72    9.97    0.00    0.84    0.00    4.03
2024 046    2.13    3.02    7.69    0.00    0.58    0.00    3.33
2024 047    2.16    2.98    8.16    0.00    0.91    0.00    3.47
2024 048    2.21    4.49   10.85    0.00    0.91    0.38    4.47
2024 049    2.64    5.33   12.11    0.41    0.91   24.61    5.25
2024 050   11.95   10.88   20.03    3.31    2.32   26.96   12.18
2024 051    4.19   10.09   18.93    0.39    1.20   15.20    8.50
2024 052    3.27    7.40   12.66    0.44    1.14    1.74    6.01
2024 053    3.70    8.81   11.36    0.00    0.72    1.22    6.10
2024 054    2.76    7.73   10.01    0.00    0.62    1.22    5.19
2024 055    3.77    9.71   15.95    0.11    0.59    1.22    7.43
2024 056    2.48    6.03   10.86    0.00    0.57    1.22    4.90
2024 057    2.02    5.11    9.97    0.00    0.45    0.00    4.30
2024 058    1.87    5.36    8.07    0.00    0.37    0.00    3.85
2024 059    1.74    3.61    7.84    0.00    0.36    0.00    3.35
2024 060    3.99    7.74   11.67    0.00    0.36    0.00    6.01
2024 061    5.09    6.56   12.11    0.00    0.36    0.00    6.25
2024 062    3.05    3.79    9.42    0.00    0.07    0.00    4.22
2024 063    2.39    3.01    7.99    0.00    0.04    0.00    3.46
2024 064    2.09    4.98    7.73    0.00    0.04    0.00    3.73
2024 065    1.85    2.83    5.76    0.00    0.04    0.00    2.69
2024 066    1.80    1.74    5.77    0.00    0.00    0.00    2.42
2024 067    1.55    1.82    5.14    0.00    0.00    0.00    2.20
2024 068    1.40    0.57    4.09    0.00    0.00    0.00    1.61
2024 069    1.49    0.44    3.68    0.00    0.00    0.00    1.52
2024 070    1.27    0.11    3.27    0.00    0.00    0.00    1.27
2024 071    1.26    0.11    3.04    0.00    0.00    0.00    1.21
2024 072    1.26    0.10    2.92    0.00    0.00    0.00    1.18
2024 073    1.25    0.09    2.91    0.00    0.00    0.00    1.17
2024 074    1.20    0.07    2.62    0.00    0.00    0.00    1.08
2024 075    1.21    0.04    2.36    0.00    0.00    0.00    1.01
2024 076    1.09    0.01    2.48    0.00    0.00    0.00    0.99
2024 077    0.96    0.00    1.16    0.00    0.00    0.00    0.63
2024 079    0.96    0.00    1.06    0.00    0.00    0.00    0.61
2024 080    0.97    0.00    0.86    0.00    0.00    0.00    0.56
2024 081    1.69    0.00    0.86    0.00    0.00    0.00    0.82
2024 082    2.29    0.07    1.35    0.00    0.00    0.00    1.17
2024 083    1.51    0.00    1.24    0.00    0.00    0.00    0.85
2024 084    2.19    0.00    1.45    0.00    0.00    0.00    1.15
2024 085    1.35    0.00    0.78    0.00    0.00    0.00    0.68
2024 086    1.13    0.00    0.55    0.00    0.00    0.00    0.54
2024 087    1.18    0.00    0.54    0.00    0.00    0.00    0.56
2024 088    1.40    0.00    0.42    0.00    0.00    0.00    0.61
2024 089    1.17    0.00    0.36    0.00    0.00    0.00    0.51
2024 090    1.00    0.00    0.36    0.00    0.00    0.00    0.45
2024 091    0.94    0.00    0.37    0.00    0.00    0.00    0.43
2024 092    0.91    0.00    0.31    0.00    0.00    0.00    0.40
2024 093    0.90    0.00    0.23    0.00    0.00    0.00    0.38
2024 094    0.97    0.00    0.02    0.00    0.00    0.00    0.36
2024 095    0.92    0.00    0.02    0.00    0.00    0.00    0.34
2024 096    0.82    0.00    0.00    0.00    0.00    0.00    0.30
2024 097    0.84    0.00    0.00    0.00    0.00    0.00    0.31
2024 098    0.85    0.00    0.00    0.00    0.00    0.00    0.31
2024 099    0.81    0.00    0.00    0.00    0.00    0.00    0.29
2024 100    0.75    0.00    0.00    0.00    0.00    0.00    0.28
2024 101    0.74    0.00    0.00    0.00    0.00    0.00    0.27
2024 102    0.75    0.00    0.00    0.00    0.00    0.00    0.28
2024 103    0.80    0.00    0.00    0.00    0.00    0.00    0.29
2024 104    0.50    0.00    0.00    0.00    0.00    0.00    0.18
2024 105    0.61    0.00    0.00    0.00    0.00    0.00    0.22
2024 106    0.66    0.00    0.00    0.00    0.00    0.00    0.24
2024 107    0.33    0.00    0.00    0.00    0.00    0.00    0.12
2024 108    0.12    0.00    0.00    0.00    0.00    0.00    0.04
2024 109    0.10    0.00    0.00    0.00    0.00    0.00    0.04
2024 110    0.12    0.00    0.00    0.00    0.00    0.00    0.04
2024 111    0.03    0.00    0.00    0.00    0.00    0.00    0.01
2024 112    0.00    0.00    0.00    0.00    0.00    0.00    0.00
2024 113    0.00    0.00    0.00    0.00    0.00    0.00    0.00
2024 114    0.00    0.00    0.00    0.00    0.00    0.00    0.00
2024 115    0.00    0.00    0.00    0.00    0.00    0.00    0.00
2024 116    0.00    0.00    0.00    0.00    0.00    0.00    0.00
